IMU_MODE,IMU_STATUS1,IMU_STATUS2,X_DEL_VEL,Y_DEL_VEL,Z_DEL_VEL,X_DEL_ANG,Y_DEL_ANG,Z_DEL_ANG,VN,VE,VD,ROLL,PITCH,HEADING,LAT,LON,ALT,IMU_MODE_cnt,IMU_Bit
0,5,-32747,-0.000767444980144501,0.0978852679252625,0.00277512130737305,-8.20495188236237E-07,-2.15671025216579E-06,-3.4477561712265E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.00090928316116333,0.0978645342707634,0.00282224324941635,-1.15111470222473E-06,1.31595879793167E-06,3.52738425135612E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000871694612503052,0.0979190095067024,0.00272525153160095,1.36904418468475E-07,8.43778252601624E-07,3.12784686684608E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000809021294116974,0.0978518397331238,0.00275764417648315,-1.12690031528473E-06,-1.24098733067513E-07,4.78606671094894E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000901471138000488,0.0978405486345291,0.0027249018073082,2.30129808187485E-06,-4.7590583562851E-06,7.24568963050842E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000835950064659119,0.0978808259725571,0.0028031628370285,1.66799873113632E-06,3.80212441086769E-07,2.53063626587391E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000841940796375275,0.0979003469467163,0.00276494750976563,2.65426933765411E-07,-2.20793299376965E-06,-8.97794961929321E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000826089656352997,0.0979168021559715,0.00273041110038757,-3.29501926898956E-06,1.02398917078972E-06,-4.20957803726196E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000867947566509247,0.0979293695211411,0.00277774651050568,2.71014869213104E-07,4.21516597270966E-06,-1.00745819509029E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000825767183303833,0.0978793816566467,0.00280640573501587,7.22706317901611E-07,-2.43308022618294E-07,1.64029188454151E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000773989820480347,0.0978854632258415,0.00280890830755234,1.87382102012634E-06,-1.82539224624634E-07,-2.36043706536293E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,7,-32747,-0.000791339778900146,0.0978733591318131,0.00277401309013367,-2.26683914661407E-06,1.06333754956722E-06,4.94532287120819E-07,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
0,5,-32747,-0.000893645489215851,0.0978915447950363,0.00274743404388428,-2.36555933952332E-06,2.23983079195023E-06,2.4640467017889E-06,0,0,-1.5,45.0013733329264,0,0,90,-90.0000000419095,0,2560,2560,
